[out#0/mpegts @ 0x3fc73000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.999x
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 114.961ms RTTVar: 14.413ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 111.678ms RTTVar: 13.779ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 117.797ms RTTVar: 21.113ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 116.328ms RTTVar: 19.796ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 114.734ms RTTVar: 14.355ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 117.016ms RTTVar: 19.593ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 115.709ms RTTVar: 16.21ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 114.459ms RTTVar: 11.053ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 113.039ms RTTVar: 7.073ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 113.8ms RTTVar: 10.4ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 117.588ms RTTVar: 11.96ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 114.868ms RTTVar: 11.464ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 115.231ms RTTVar: 17.201ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 118.229ms RTTVar: 21.423ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:25 RTT: 118.104ms RTTVar: 19.41ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 121.816ms RTTVar: 21.719ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 121.707ms RTTVar: 16.507ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 124.626ms RTTVar: 15.838ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 124.03ms RTTVar: 17.696ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 122.614ms RTTVar: 13.288ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 124.154ms RTTVar: 12.884ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 121.98ms RTTVar: 9.38ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:26 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:26 RTT: 124.19ms RTTVar: 11.456ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 123.017ms RTTVar: 11.537ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 124.959ms RTTVar: 12.537ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 129.022ms RTTVar: 14.258ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 122.755ms RTTVar: 11.813ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 124.402ms RTTVar: 14.194ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 122.472ms RTTVar: 20.5ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:27 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:27 RTT: 122.122ms RTTVar: 16.434ms CWND: 53 SSTHRESH: 56587
