[out#0/mpegts @ 0x8f82000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 115.784ms RTTVar: 17.292ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 115.078ms RTTVar: 15.746ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 118.471ms RTTVar: 17.485ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 117.332ms RTTVar: 15.246ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 117.431ms RTTVar: 17.416ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 118.539ms RTTVar: 20.392ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 121.614ms RTTVar: 21.444ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 122.516ms RTTVar: 16.702ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 119.354ms RTTVar: 13.987ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:39 RTT: 120.165ms RTTVar: 13.522ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
