[  6]   0.00-6.60   sec   100 MBytes   127 Mbits/sec    0             sender
[  6]   0.00-6.70   sec  99.9 MBytes   125 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 119.947ms RTTVar: 0.074ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 119.342ms RTTVar: 1.303ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 120.153ms RTTVar: 0.449ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 120.52ms RTTVar: 0.982ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 123.384ms RTTVar: 6.446ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 119.98ms RTTVar: 0.018ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:18 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:18 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:18 RTT: 119.857ms RTTVar: 0.378ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 119.294ms RTTVar: 1.122ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 119.797ms RTTVar: 0.14ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 104.439ms RTTVar: 1.505ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:46:19 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:46:19 RTT: 103.563ms RTTVar: 1.566ms CWND: 368 SSTHRESH: 75
2024-12-10 03:46:19 RTT: 179.162ms RTTVar: 98.558ms CWND: 10 SSTHRESH: 56587
