[  6]   0.00-6.70   sec   100 MBytes   125 Mbits/sec    0             sender
[  6]   0.00-6.80   sec   100 MBytes   123 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 114.447ms RTTVar: 0.802ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 119.94ms RTTVar: 0.003ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 119.697ms RTTVar: 0.041ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 139.11ms RTTVar: 2.63ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 106.791ms RTTVar: 2.85ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:39 RTT: 106.639ms RTTVar: 0.908ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:39 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:39 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
